payment_id,order_ref,payment_date,payment_amount,payment_method
PAY13818,ORD26806,2020-02-17,1314.48,BankTransfer
PAY64445,ORD15503,2021-01-07,1296.55,Cash
PAY82780,ORD71503,2020-04-01,4719.66,Credit Card
PAY25330,ORD45402,2021-07-12,4130.42,BankTransfer
PAY95857,ORD42307,2021-07-12,563.0,Credit Card
PAY54777,ORD75275,2020-02-01,3807.04,CreditCard
PAY44036,,2021-11-04,1264.23,CreditCard
PAY61462,ORD26775,2021-03-28,2611.91,CreditCard
PAY02012,ORD97847,2021-10-24,4042.79,Bank Transfer
PAY05053,ORD39366,2021-09-10,4343.25,Bank Transfer
PAY53486,ORD30100,2020-06-04,1118.57,CreditCard
PAY70355,ORD42722,2022-02-24,264.38,CreditCard
PAY98864,ORD21170,2020-04-08,3112.68,Bank Transfer
PAY20515,ORD75965,2022-05-03,72.25,BankTransfer
PAY99971,ORD35391,2022-01-17,4026.77,BankTransfer
PAY90457,ORD34779,2020-12-19,1043.91,BankTransfer
PAY46178,ORD02513,2020-04-15,2580.83,CreditCard
PAY41832,ORD73943,2021-06-01,150.25,Cash
PAY90629,ORD78470,2020-11-29,1448.14,Credit Card
PAY76372,ORD40073,2020-12-17,153.57,Cash
PAY60703,ORD75449,2020-11-11,4478.79,CreditCard
PAY48720,ORD99369,2021-05-06,437.85,Bank Transfer
PAY55797,ORD80007,2022-10-20,4434.02,CreditCard
PAY30507,ORD17934,2020-10-07,4152.9,Credit Card
PAY11342,ORD24464,2022-11-12,2777.15,BankTransfer
PAY61323,ORD85009,2021-12-10,1637.42,Credit Card
PAY69220,ORD58965,2021-11-28,4943.39,Credit Card
PAY50776,ORD96862,2021-04-22,476.49,Credit Card
PAY34474,ORD08871,2022-05-14,681.29,Cash
PAY28689,ORD72798,2021-08-10,4836.21,Bank Transfer
PAY99153,ORD14318,2022-12-15,4937.27,BankTransfer
PAY84119,ORD72252,2020-08-04,4744.76,Bank Transfer
PAY51692,ORD22869,2021-02-11,3473.78,Credit Card
PAY90185,ORD10471,2022-10-10,1649.14,BankTransfer
PAY87914,ORD54638,2022-01-20,2806.05,Credit Card
PAY82951,ORD15415,2022-08-10,366.79,Cash
PAY70852,ORD52267,2022-06-26,4601.85,Bank Transfer
PAY17231,ORD06049,2020-05-05,1332.74,Cash
PAY29518,ORD96466,2022-12-26,1652.75,Credit Card
PAY49388,ORD42146,2020-01-01,3527.86,Cash
PAY71767,ORD83101,2020-01-30,1781.02,Cash
PAY45638,ORD03090,2021-07-06,3053.04,Credit Card
PAY36801,ORD99194,2020-04-24,3940.13,Credit Card
PAY70770,,2022-08-13,607.87,BankTransfer
PAY82128,,2022-05-09,2301.29,Credit Card
PAY49430,ORD62748,2021-12-17,2648.35,Bank Transfer
PAY65680,ORD74848,2022-07-18,3697.65,Bank Transfer
PAY89873,ORD58679,2021-11-13,2628.95,BankTransfer
PAY94017,,2020-02-27,2961.02,BankTransfer
PAY22307,,2022-05-22,1204.71,Credit Card
PAY76238,ORD47213,2020-01-06,4679.77,BankTransfer
PAY05010,ORD62748,2020-09-28,3525.8,Cash
PAY73085,ORD74949,2021-06-03,4933.01,CreditCard
PAY68100,ORD78470,2020-12-09,2188.52,Credit Card
PAY93302,ORD18544,2022-08-07,175.88,CreditCard
PAY76938,ORD94194,2020-10-13,2919.1,Cash
PAY55727,ORD02754,2020-11-27,4751.02,Bank Transfer
PAY94648,ORD67483,2021-08-06,4325.32,CreditCard
PAY56149,ORD42651,2021-12-13,415.34,Credit Card
PAY35028,ORD40154,2022-06-16,4734.82,BankTransfer
PAY12649,ORD31059,2021-04-10,1308.88,Cash
PAY80520,ORD21376,2020-04-29,3226.78,CreditCard
PAY06627,ORD55952,2022-06-05,1337.31,CreditCard
PAY82251,ORD16428,2021-12-21,1183.94,BankTransfer
PAY98647,ORD71128,2022-06-10,4426.31,Credit Card
PAY26549,ORD81863,2022-01-12,2776.62,CreditCard
PAY67389,ORD69651,2020-01-01,1396.33,Bank Transfer
PAY30521,ORD88706,2022-09-04,1187.9,CreditCard
PAY12467,ORD09942,2021-07-27,2799.91,Cash
PAY96860,ORD09485,2020-01-22,2009.34,CreditCard
PAY20735,ORD21731,2021-11-30,3144.07,Cash
PAY11959,ORD06070,2022-04-28,4107.51,Credit Card
PAY66283,ORD07892,2021-10-21,1025.86,BankTransfer
PAY84946,ORD08843,2022-12-01,1150.61,Bank Transfer
PAY66561,ORD14827,2021-06-20,4537.64,Bank Transfer
PAY50711,ORD35201,2022-05-03,1073.83,BankTransfer
PAY18698,ORD39247,2021-09-09,3003.19,Cash
PAY94439,,2022-07-10,388.29,CreditCard
PAY63705,ORD56156,2022-02-05,4085.57,Cash
PAY35034,ORD02128,2020-09-28,1510.84,Bank Transfer
PAY43411,ORD86403,2020-02-25,3485.1,Cash
PAY58211,ORD84969,2022-11-09,1364.28,Bank Transfer
PAY23880,ORD72045,2022-03-29,3218.61,BankTransfer
PAY59893,ORD22411,2021-07-25,4005.05,Cash
PAY86970,ORD43433,2022-06-11,4405.66,CreditCard
PAY10940,ORD15497,2021-01-11,4529.61,CreditCard
PAY04767,ORD89916,2022-10-25,53.25,BankTransfer
PAY71478,ORD34176,2021-02-16,3913.31,Bank Transfer
PAY72593,ORD83163,2020-11-10,2092.42,Credit Card
PAY55507,ORD19340,2020-10-18,2105.86,Credit Card
PAY95404,ORD52330,2021-07-05,3938.4,BankTransfer
PAY11014,ORD18158,2021-05-07,4332.11,Cash
PAY46398,ORD52765,2021-06-22,1549.05,Credit Card
PAY23258,,2021-09-06,3462.12,Credit Card
PAY60026,ORD06885,2021-10-23,1528.89,Bank Transfer
PAY34020,ORD71064,2020-07-17,4154.87,Bank Transfer
PAY66400,ORD77518,2020-01-30,1361.67,BankTransfer
PAY88111,ORD84381,2020-11-18,4944.43,BankTransfer
PAY97519,ORD80726,2022-06-29,3280.62,Bank Transfer
PAY24004,ORD59552,2020-09-07,4642.41,Bank Transfer
PAY26996,ORD05809,2022-06-27,2840.76,BankTransfer
PAY07809,ORD76116,2020-10-01,1121.87,BankTransfer
PAY11502,ORD83673,2021-06-16,4734.17,CreditCard
PAY46890,ORD52529,2022-09-05,2363.74,Cash
PAY47095,ORD69324,2022-10-27,1337.39,Credit Card
PAY67215,,2020-06-06,4688.17,Cash
PAY05390,ORD33265,2021-01-07,2341.34,BankTransfer
PAY53902,ORD08087,2021-08-06,2045.37,Credit Card
PAY28070,ORD04317,2021-08-19,2294.57,Cash
PAY46613,ORD57634,2022-04-21,1223.56,Bank Transfer
PAY79060,ORD03592,2020-02-20,3462.06,Bank Transfer
PAY78423,ORD20196,2020-05-10,3203.26,BankTransfer
PAY78706,ORD77064,2021-12-14,3025.17,Bank Transfer
PAY67078,ORD11564,2020-04-21,424.39,BankTransfer
PAY68827,ORD67233,2022-05-22,2695.68,Bank Transfer
PAY66825,ORD94278,2022-03-07,4768.72,Cash
PAY15586,ORD37380,2020-01-07,3662.91,Cash
PAY51061,ORD02470,2022-06-26,1857.46,Bank Transfer
PAY49801,ORD21997,2020-04-02,3262.01,Credit Card
PAY75966,ORD28027,2022-09-01,4328.19,Cash
PAY90708,ORD43238,2022-10-13,4832.8,Cash
PAY21093,ORD58146,2021-02-24,3654.59,Bank Transfer
PAY10268,ORD35181,2021-12-13,4847.28,Bank Transfer
PAY98570,ORD72230,2022-06-16,174.35,Bank Transfer
PAY33562,ORD56845,2022-11-04,3403.01,Cash
PAY37290,ORD47992,2020-08-30,3996.18,Cash
PAY60694,ORD53372,2022-11-19,3211.2,Credit Card
PAY57946,ORD66458,2020-10-02,2557.75,Cash
PAY45646,ORD13028,2021-04-27,4378.22,CreditCard
PAY50255,ORD38192,2021-03-19,1081.62,BankTransfer
PAY32813,ORD21362,2021-11-15,1624.75,Credit Card
PAY54694,ORD03223,2020-08-16,982.08,CreditCard
PAY34165,ORD84209,2020-04-01,4935.95,Cash
PAY62930,ORD03592,2020-07-22,4709.88,Cash
PAY23577,ORD82761,2021-02-22,3263.24,Bank Transfer
PAY66354,ORD85550,2022-02-20,2486.27,BankTransfer
PAY23195,ORD36640,2022-04-23,3874.67,BankTransfer
PAY02675,ORD80067,2020-03-31,4286.05,CreditCard
PAY73190,ORD46542,2021-03-28,4965.1,CreditCard
PAY98402,ORD48796,2022-02-09,4490.54,Credit Card
PAY94758,,2021-08-04,1863.3,Bank Transfer
PAY83301,ORD22446,2020-06-04,2651.35,CreditCard
PAY12854,ORD31521,2020-01-18,3545.2,Bank Transfer
PAY56150,ORD38060,2022-12-06,3621.48,Bank Transfer
PAY97072,,2021-10-27,747.38,CreditCard
PAY17540,ORD37351,2020-07-05,1538.17,Bank Transfer
PAY20442,ORD34133,2022-01-13,274.31,Credit Card
PAY14676,ORD98741,2021-03-13,3278.22,BankTransfer
PAY24598,ORD92663,2021-07-27,3807.06,BankTransfer
PAY46053,ORD19718,2020-05-15,167.49,Credit Card
PAY73908,,2020-02-11,1423.49,Bank Transfer
PAY61903,ORD97442,2022-02-27,4943.32,Credit Card
PAY97320,ORD44296,2021-07-01,2196.21,BankTransfer
PAY77066,ORD66817,2021-11-06,1639.97,CreditCard
PAY86896,ORD63140,2022-08-10,2473.05,BankTransfer
PAY03859,ORD60066,2022-10-17,2870.37,CreditCard
PAY16753,ORD90057,2021-07-14,3393.24,Cash
PAY70575,ORD87225,2020-09-12,3746.47,Credit Card
PAY72496,ORD02159,2020-02-12,398.98,Cash
PAY53377,ORD93618,2022-06-07,2384.55,CreditCard
PAY83016,ORD80993,2021-08-18,2915.85,CreditCard
PAY69171,,2020-12-18,1162.46,CreditCard
PAY55922,,2021-05-12,915.06,Credit Card
PAY65711,ORD30431,2021-09-29,2796.35,Credit Card
PAY30312,ORD02838,2021-01-29,2680.52,BankTransfer
PAY04639,ORD96701,2021-04-29,3066.79,CreditCard
PAY29593,ORD91247,2020-08-30,1925.67,CreditCard
PAY97028,ORD85121,2022-08-22,3528.35,Cash
PAY42262,ORD46361,2020-11-07,457.56,Credit Card
PAY56850,ORD29908,2021-03-21,4058.66,CreditCard
PAY68637,ORD31453,2021-12-31,2899.03,Cash
PAY04319,ORD89215,2022-04-13,3297.63,CreditCard
PAY41244,ORD39450,2020-09-02,2455.23,Credit Card
PAY16738,ORD40827,2020-05-21,313.19,Cash
PAY33255,ORD89563,2021-02-24,4472.75,Credit Card
PAY17426,ORD41747,2020-10-02,3314.72,BankTransfer
PAY89381,ORD95721,2020-11-09,882.91,Bank Transfer
PAY75187,ORD54567,2021-06-09,3607.51,Cash
PAY40716,ORD99850,2022-03-03,3722.86,CreditCard
PAY38385,ORD97445,2021-06-23,4121.59,Bank Transfer
PAY83679,ORD97023,2022-07-19,3853.83,Credit Card
PAY02709,ORD45815,2020-03-16,4432.42,Cash
PAY31123,ORD04317,2021-12-26,1126.13,Credit Card
PAY83777,ORD33093,2020-08-17,3428.92,Credit Card
PAY15749,ORD65270,2020-08-10,3608.21,CreditCard
PAY86804,,2021-06-14,303.8,BankTransfer
PAY24301,ORD81746,2020-04-08,4274.52,Cash
PAY48793,ORD19733,2020-12-22,3715.92,CreditCard
PAY17411,ORD27889,2022-02-26,3364.87,Credit Card
PAY08815,ORD63598,2020-08-28,4550.04,Cash
PAY81894,ORD34248,2020-04-28,1895.53,BankTransfer
PAY65119,ORD75312,2020-12-29,2509.84,Bank Transfer
PAY03960,ORD96817,2022-12-20,4707.15,CreditCard
PAY45113,ORD80595,2022-04-06,642.3,Credit Card
PAY56866,,2021-08-22,1161.29,Credit Card
PAY05234,ORD51598,2020-11-17,2500.13,Bank Transfer
PAY23620,ORD27732,2020-05-03,968.86,BankTransfer
PAY88924,ORD46298,2020-03-14,257.15,BankTransfer
PAY56306,,2020-03-18,158.77,Bank Transfer
PAY42046,ORD64820,2022-07-06,1895.8,CreditCard
PAY05037,ORD99382,2020-08-04,2117.19,Bank Transfer
PAY56467,ORD41234,2021-01-27,285.89,Cash
PAY74569,ORD46007,2022-08-13,1529.28,BankTransfer
PAY41911,ORD99964,2020-02-05,4168.57,BankTransfer
PAY40501,,2020-03-21,2947.31,Credit Card
PAY21968,ORD18682,2021-05-16,2873.54,Bank Transfer
PAY63607,ORD50314,2022-07-15,2865.8,CreditCard
PAY28468,ORD19869,2021-04-25,1629.9,CreditCard
PAY81041,ORD28738,2020-01-06,1111.52,CreditCard
PAY80401,ORD99253,2022-11-19,2062.86,Bank Transfer
PAY66444,ORD57757,2020-04-19,1923.71,Cash
PAY44214,ORD81872,2022-08-23,2422.26,Bank Transfer
PAY11627,ORD30547,2022-02-09,2563.37,Cash
PAY62079,,2020-01-22,4434.29,CreditCard
PAY96456,ORD67470,2021-02-26,402.82,CreditCard
PAY34447,ORD79235,2021-12-06,2535.85,BankTransfer
PAY21704,ORD02989,2022-06-22,2653.7,Credit Card
PAY91357,ORD48214,2021-12-26,879.16,Bank Transfer
PAY19733,ORD32009,2020-08-14,294.27,Cash
PAY85950,ORD70406,2021-11-20,3448.14,Cash
PAY74400,,2022-12-04,4327.63,Bank Transfer
PAY35556,ORD27332,2022-10-05,2557.45,Credit Card
PAY20731,ORD17934,2021-11-12,2828.99,BankTransfer
PAY12938,ORD17822,2021-12-26,4220.4,Bank Transfer
PAY80383,ORD30406,2020-08-09,788.34,Cash
PAY22863,ORD98227,2022-06-13,3096.59,Bank Transfer
PAY58737,ORD20757,2022-06-03,460.26,Credit Card
PAY10307,ORD20867,2020-03-24,3715.14,Cash
PAY39361,ORD46868,2022-03-11,653.57,CreditCard
PAY26554,ORD67359,2021-12-12,1538.08,BankTransfer
PAY36642,ORD97469,2022-03-17,3670.85,Credit Card
PAY56140,ORD81033,2020-03-10,2823.13,BankTransfer
PAY94098,ORD12783,2022-02-22,3311.6,CreditCard
PAY61950,ORD73449,2020-11-25,965.44,Credit Card
PAY57980,ORD27158,2022-12-24,4429.1,BankTransfer
PAY36009,ORD11008,2020-04-21,523.88,BankTransfer
PAY82638,,2021-08-13,1938.23,CreditCard
PAY32544,ORD94609,2021-01-31,791.89,Cash
PAY23106,ORD55377,2022-12-20,2265.08,Credit Card
PAY38631,ORD16525,2022-05-17,830.62,Bank Transfer
PAY29796,ORD73801,2022-09-30,576.44,Credit Card
PAY77567,ORD49392,2022-04-18,3131.52,Bank Transfer
PAY59094,ORD97904,2022-02-19,2880.66,Bank Transfer
PAY36524,ORD69847,2020-06-02,4619.7,Cash
PAY27251,ORD90193,2022-06-12,627.43,CreditCard
PAY39041,ORD01540,2022-08-11,4184.1,Credit Card
PAY81219,ORD35762,2022-01-17,4455.59,CreditCard
PAY64709,ORD57439,2021-04-04,1998.2,CreditCard
PAY80771,ORD38391,2020-05-31,1965.58,Bank Transfer
PAY87183,ORD63414,2020-07-28,3576.02,Credit Card
PAY99969,ORD95045,2021-04-15,2639.62,Cash
PAY84892,ORD09485,2022-04-30,4928.33,Credit Card
PAY70665,ORD65573,2020-06-04,997.12,BankTransfer
PAY86971,ORD82153,2021-06-27,2505.25,Cash
PAY84150,ORD73849,2021-02-11,1319.93,CreditCard
PAY76220,ORD61404,2022-08-14,1015.9,CreditCard
PAY18660,ORD99357,2021-07-08,2942.38,BankTransfer
PAY23352,ORD43284,2020-08-08,1248.05,Cash
PAY96699,ORD88448,2020-12-19,4286.42,CreditCard
PAY84769,ORD31733,2021-11-25,1943.89,BankTransfer
PAY48169,ORD10078,2021-11-13,2126.38,Cash
PAY41747,ORD79173,2022-01-20,3924.76,Credit Card
PAY71394,ORD61290,2021-07-28,275.67,Credit Card
PAY80402,ORD47725,2021-04-13,2731.92,CreditCard
PAY61743,ORD40072,2022-02-14,3753.66,Cash
PAY49263,ORD96545,2020-11-22,2986.98,Credit Card
PAY84755,ORD22679,2022-04-19,1163.63,BankTransfer
PAY22606,ORD52407,2021-02-01,1494.02,Cash
PAY87465,,2022-02-08,4640.54,Bank Transfer
PAY59767,ORD73079,2021-02-08,3472.7,CreditCard
PAY73581,ORD84487,2022-10-10,3060.12,Bank Transfer
PAY14127,ORD49736,2020-04-16,1348.71,Credit Card
PAY11705,ORD28645,2021-06-04,2620.46,Bank Transfer
PAY20729,ORD10216,2021-10-25,329.55,Cash
PAY73781,ORD12577,2021-04-14,4953.63,Bank Transfer
PAY15137,ORD26996,2022-03-05,3058.99,BankTransfer
PAY50058,ORD55378,2022-09-11,2552.52,Cash
PAY48796,ORD00077,2020-07-30,4735.99,Bank Transfer
PAY11660,ORD77216,2020-02-17,413.24,Bank Transfer
PAY73080,ORD95454,2020-02-04,1365.9,BankTransfer
PAY14128,ORD01419,2021-04-24,1410.16,BankTransfer
PAY65579,ORD54880,2022-02-03,548.4,Cash
PAY28241,ORD38436,2022-07-12,4131.63,CreditCard
PAY10603,ORD34428,2021-07-03,423.5,BankTransfer
PAY86261,,2020-07-06,119.5,Cash
PAY02527,,2020-05-09,3728.38,BankTransfer
PAY73799,ORD35258,2021-11-28,4164.15,Credit Card
PAY38942,ORD46275,2022-12-25,1626.37,CreditCard
PAY19493,ORD69914,2021-09-04,2462.55,Bank Transfer
PAY27614,ORD39654,2022-09-17,3890.69,Credit Card
PAY52524,ORD23830,2022-05-23,3215.27,Bank Transfer
PAY08440,ORD06463,2021-01-16,985.17,CreditCard
PAY70637,ORD60086,2020-01-17,2093.59,CreditCard
PAY39450,ORD19079,2022-02-27,4929.76,Cash
PAY80648,ORD19909,2020-06-03,3202.92,Credit Card
PAY49869,ORD67856,2021-06-15,2100.62,BankTransfer
PAY63414,ORD84733,2021-01-17,3261.75,Cash
PAY86990,ORD04536,2022-08-12,2154.99,Cash
PAY92880,ORD26159,2020-07-08,4542.03,Cash
PAY34101,ORD00903,2022-08-21,1187.36,Credit Card
PAY83820,ORD37062,2022-07-27,1867.3,CreditCard
PAY79046,ORD51902,2022-03-13,4886.71,Credit Card
PAY93150,ORD93265,2020-02-05,622.08,Bank Transfer
PAY11837,ORD85225,2021-12-09,3042.09,Cash
PAY53318,ORD90366,2022-11-17,3965.66,Cash
PAY39262,ORD04180,2021-04-06,3142.16,CreditCard
PAY36331,ORD12914,2022-07-09,4061.42,BankTransfer
PAY19616,ORD10766,2020-10-28,4688.66,CreditCard
PAY84958,ORD43795,2020-12-11,4781.83,CreditCard
PAY95109,ORD48484,2022-09-24,3417.88,Bank Transfer
PAY77762,ORD07635,2022-07-26,4217.79,Bank Transfer
PAY68980,ORD57235,2022-10-25,4203.81,BankTransfer
PAY44289,ORD77516,2021-06-29,1704.41,Credit Card
PAY14993,ORD16016,2021-12-20,3631.43,CreditCard
PAY31151,ORD11536,2020-04-18,2680.76,Bank Transfer
PAY53899,,2022-07-14,56.22,BankTransfer
PAY83021,ORD45357,2020-03-04,1816.38,Credit Card
PAY54756,ORD25417,2020-04-25,1541.88,BankTransfer
PAY15976,,2022-04-08,4440.13,BankTransfer
PAY05933,ORD55378,2021-05-25,1666.41,BankTransfer
PAY06510,,2020-03-03,3703.89,Cash
PAY54825,ORD13460,2020-02-25,2726.21,Bank Transfer
PAY75025,ORD35927,2022-09-13,3429.98,Cash
PAY54758,ORD65639,2020-01-15,1033.73,CreditCard
PAY55897,ORD85811,2021-09-03,2583.62,BankTransfer
PAY71053,ORD65003,2022-12-16,167.73,Credit Card
PAY31181,ORD15397,2021-06-05,1615.79,Credit Card
PAY37403,ORD64737,2020-06-25,3685.11,BankTransfer
PAY11822,ORD53550,2021-01-05,2112.03,BankTransfer
PAY11348,,2021-08-08,2232.14,Bank Transfer
PAY71636,ORD39654,2020-04-13,2981.45,Cash
PAY01083,ORD32181,2021-07-02,3204.74,Cash
PAY90373,ORD81038,2021-01-28,4563.39,Cash
PAY77613,ORD69755,2021-08-26,1540.76,Cash
PAY60079,ORD82490,2022-03-30,2762.47,Cash
PAY66589,ORD56689,2022-09-13,2997.82,Cash
PAY95102,ORD95721,2021-07-09,4622.24,BankTransfer
PAY56617,ORD47307,2020-03-26,4455.92,BankTransfer
PAY36837,,2020-12-05,2041.77,Credit Card
PAY67484,ORD58679,2020-04-13,4673.53,Credit Card
PAY06333,ORD09411,2020-03-04,4333.09,Cash
PAY13189,ORD28333,2020-04-23,4401.1,Cash
PAY88514,ORD38840,2021-01-27,3637.21,Bank Transfer
PAY36374,ORD76335,2020-11-08,1229.62,Credit Card
PAY92964,ORD29487,2020-03-26,3591.81,CreditCard
PAY91401,ORD25878,2021-08-31,1242.32,BankTransfer
PAY22203,ORD74261,2020-12-08,1845.64,Cash
PAY41960,ORD81450,2020-11-12,1360.38,Cash
PAY37132,ORD18682,2021-10-24,2803.4,CreditCard
PAY11800,ORD45330,2022-03-29,3899.92,BankTransfer
PAY21091,ORD71732,2020-03-21,1841.3,Credit Card
PAY18173,ORD08871,2022-09-29,2872.36,Bank Transfer
PAY28604,ORD77540,2022-10-20,3477.58,Credit Card
PAY22897,ORD01699,2020-05-13,3438.17,Credit Card
PAY49480,ORD25665,2022-12-27,298.19,BankTransfer
PAY69211,ORD86035,2021-05-31,2492.64,BankTransfer
PAY28503,,2021-12-23,1973.23,Credit Card
PAY06572,ORD31024,2020-05-28,1872.23,Bank Transfer
PAY87018,ORD06824,2020-12-02,2576.17,Credit Card
PAY74579,ORD86444,2022-12-13,1854.17,BankTransfer
PAY52192,ORD75293,2020-06-22,2240.67,BankTransfer
PAY14669,ORD48498,2022-03-22,2376.0,BankTransfer
PAY21829,,2022-08-14,4029.6,CreditCard
PAY12843,ORD24944,2021-10-28,4709.02,Bank Transfer
PAY46890,ORD25911,2021-11-10,4133.26,Credit Card
PAY30406,ORD45111,2021-03-21,4287.49,Cash
PAY31111,ORD70341,2021-04-08,2003.66,Credit Card
PAY86138,,2022-07-10,1673.08,Bank Transfer
PAY57271,ORD51097,2021-12-20,1437.36,CreditCard
PAY10083,ORD75493,2021-09-07,1094.63,BankTransfer
PAY69242,ORD40779,2021-04-13,1395.93,Credit Card
PAY20417,ORD64731,2020-03-13,748.48,BankTransfer
PAY69242,,2021-07-05,3096.11,CreditCard
PAY35827,,2020-10-18,4452.37,Credit Card
PAY54184,ORD04087,2022-09-20,4290.89,Cash
PAY96096,ORD14077,2022-03-07,4395.89,BankTransfer
PAY21882,ORD34252,2020-01-16,3362.71,Bank Transfer
PAY02223,ORD03353,2022-10-15,2146.94,Bank Transfer
PAY40236,ORD94278,2020-02-08,2561.1,Cash
PAY93465,ORD69215,2020-05-29,4958.98,BankTransfer
PAY85993,ORD29015,2020-05-19,3977.51,CreditCard
PAY43266,ORD89655,2020-03-07,3867.73,Bank Transfer
PAY96197,ORD20859,2021-03-12,2007.18,Bank Transfer
PAY05525,ORD51203,2021-08-04,1304.61,Bank Transfer
PAY79197,ORD51179,2022-12-25,2099.13,Cash
PAY41867,ORD99574,2020-04-29,401.01,Bank Transfer
PAY08006,ORD54179,2020-07-18,2064.7,BankTransfer
PAY73887,ORD06608,2022-01-07,4331.49,Cash
PAY58642,ORD71128,2020-11-21,959.59,CreditCard
PAY14945,ORD71307,2021-08-24,4111.21,Bank Transfer
PAY27196,ORD89347,2021-04-27,4133.32,Credit Card
PAY89813,ORD46864,2022-11-13,1578.95,Credit Card
PAY57311,ORD19574,2022-04-21,2235.8,Cash
PAY61110,,2022-06-20,2507.36,Bank Transfer
PAY28902,,2022-01-01,974.71,Cash
PAY41227,ORD22315,2022-06-21,2434.31,Credit Card
PAY25439,ORD76122,2021-08-10,423.5,Credit Card
PAY14422,ORD23526,2020-04-22,873.24,CreditCard
PAY86757,ORD98717,2020-08-01,220.02,Bank Transfer
PAY71161,ORD93641,2020-08-27,158.01,CreditCard
PAY53870,,2020-09-26,3850.35,Credit Card
PAY95338,ORD97844,2022-07-21,3913.93,Credit Card
PAY12789,ORD84060,2022-01-10,704.36,CreditCard
PAY89547,ORD20175,2022-03-29,3067.43,CreditCard
PAY54496,ORD66817,2020-07-12,2995.95,CreditCard
PAY81072,ORD11393,2022-09-29,1993.31,BankTransfer
PAY49020,ORD20209,2020-05-03,809.42,Cash
PAY08566,ORD75110,2021-11-04,1452.32,BankTransfer
PAY46872,ORD99382,2022-06-24,3493.73,Bank Transfer
PAY15681,ORD75293,2020-05-23,1613.05,CreditCard
PAY29404,ORD28090,2020-01-15,4420.76,Bank Transfer
PAY46051,ORD63898,2021-06-28,698.63,Credit Card
PAY34859,ORD79443,2020-04-10,2393.05,CreditCard
PAY19592,ORD36640,2021-05-10,4944.43,Credit Card
PAY60909,ORD83149,2021-08-10,3478.21,Cash
PAY17841,ORD54002,2020-08-04,2450.72,Credit Card
PAY96552,ORD58387,2022-11-07,2120.68,Bank Transfer
PAY78789,ORD39592,2020-05-06,1601.07,Bank Transfer
PAY23926,ORD35028,2020-03-10,1216.16,CreditCard
PAY36489,ORD81196,2022-08-27,1045.29,BankTransfer
